season,week,n_qualifying_legs,n_top_legs,n_tickets,n_positive_ev,n_selected,max_leg_exposure,units,wins,week_profit_loss,block,scenario,procedure,american_2team,american_3team
2019,17,2,2,1,1,1,1,1.0,1,0.8333333333333334,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2019,18,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2020,1,3,3,4,3,3,2,3.0,3,2.5,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2020,2,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2020,3,3,3,4,2,2,2,2.0,2,1.6666666666666667,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2020,4,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2020,5,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2020,6,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2020,10,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2020,11,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2020,12,3,3,4,2,2,2,2.0,2,1.6666666666666667,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2020,13,3,3,4,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2020,14,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2020,15,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2020,16,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2020,17,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2021,1,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2021,3,3,3,4,3,3,2,3.0,3,2.5,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2021,4,3,3,4,3,3,2,3.0,1,-1.1666666666666665,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2021,5,4,4,10,3,2,2,2.0,0,-2.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2021,6,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2021,8,1,1,0,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2021,10,2,2,1,0,0,0,0.0,0,0.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
2021,11,2,2,1,1,1,1,1.0,0,-1.0,2018-2023 validation,2-team only,frozen greedy + cap,-120,
